Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 5570, 00:00:05.570,magma_AREA,2117,534
1, 6728, 00:00:06.728,magma_AREA,2213,472
2, 7227, 00:00:07.227,magma_AREA,2507,543
3, 7712, 00:00:07.712,magma_AREA,2137,490
4, 8496, 00:00:08.496,magma_AREA,2114,385
5, 8792, 00:00:08.792,magma_PAGE_SWIPE_down,2142,809
6, 9242, 00:00:09.242,magma_AREA,2102,556
7, 9406, 00:00:09.406,magma_PAGE_SWIPE_up,2134,246
8, 10008, 00:00:10.008,magma_AREA,2134,568
9, 10205, 00:00:10.205,magma_PAGE_SWIPE_up,2123,147
10, 11025, 00:00:11.025,magma_AREA,2183,609
11, 11238, 00:00:11.238,magma_PAGE_SWIPE_up,2139,196
12, 11791, 00:00:11.791,magma_AREA,2201,600
13, 11988, 00:00:11.988,magma_PAGE_SWIPE_up,2144,265
14, 13922, 00:00:13.922,magma_AREA,2132,622
15, 14121, 00:00:14.121,magma_PAGE_SWIPE_up,2159,343
16, 14605, 00:00:14.605,magma_AREA,2211,582
17, 14820, 00:00:14.820,magma_PAGE_SWIPE_up,2193,306
18, 15687, 00:00:15.687,magma_AREA,2135,343
19, 15970, 00:00:15.970,magma_PAGE_SWIPE_down,2153,686
20, 17023, 00:00:17.023,magma_AREA,2159,622
21, 17234, 00:00:17.234,magma_PAGE_SWIPE_up,2165,318
22, 18005, 00:00:18.005,magma_AREA,2134,544
23, 18854, 00:00:18.854,magma_AREA,2137,517
24, 20151, 00:00:20.151,magma_AREA,2580,514
25, 25517, 00:00:25.517,magma_AREA,2144,522
26, 26031, 00:00:26.031,magma_AREA,2535,519
27, 26432, 00:00:26.432,magma_AREA,2178,526
28, 26763, 00:00:26.763,magma_AREA,2150,611
29, 26977, 00:00:26.977,magma_PAGE_SWIPE_up,2220,285
30, 27396, 00:00:27.396,magma_AREA,2148,543
31, 27596, 00:00:27.596,magma_PAGE_SWIPE_up,2187,211
32, 28395, 00:00:28.395,magma_AREA,2162,541
33, 28578, 00:00:28.578,magma_PAGE_SWIPE_up,2153,159
34, 29299, 00:00:29.299,magma_AREA,2148,534
35, 29525, 00:00:29.525,magma_PAGE_SWIPE_up,2132,195
36, 29944, 00:00:29.944,magma_AREA,2166,489
37, 30124, 00:00:30.124,magma_PAGE_SWIPE_up,2186,226
38, 33989, 00:00:33.989,magma_EXTREAM_TRACK_BTN_Stop,1327,724
39, 39394, 00:00:39.394,magma_AREA,2388,680
40, 39784, 00:00:39.784,magma_PAGE_SWIPE_up,2360,426
41, 40970, 00:00:40.970,magma_AREA,2390,635
42, 41250, 00:00:41.250,magma_PAGE_SWIPE_up,2379,372
43, 41753, 00:00:41.753,magma_AREA,2249,363
44, 42100, 00:00:42.100,magma_PAGE_SWIPE_down,2301,748
45, 42610, 00:00:42.610,magma_AREA,2117,336
46, 43083, 00:00:43.083,magma_PAGE_SWIPE_down,2135,707
47, 43586, 00:00:43.586,magma_AREA,2101,316
48, 43948, 00:00:43.948,magma_PAGE_SWIPE_down,2178,764
49, 48364, 00:00:48.364,magma_AREA,1526,543
50, 49013, 00:00:49.013,magma_AREA,1531,579
51, 50515, 00:00:50.515,magma_AREA,2032,549
52, 50677, 00:00:50.677,magma_PAGE_SWIPE_up,2059,360
53, 51679, 00:00:51.679,magma_AREA,1808,559
54, 52478, 00:00:52.478,magma_AREA,2151,528
55, 52677, 00:00:52.677,magma_PAGE_SWIPE_up,2178,295
56, 53312, 00:00:53.312,magma_AREA,2184,360
57, 53592, 00:00:53.592,magma_PAGE_SWIPE_down,2172,746
58, 54263, 00:00:54.263,magma_AREA,2145,632
59, 55299, 00:00:55.299,magma_AREA,2183,418
60, 55742, 00:00:55.742,magma_AREA,2184,591
61, 56297, 00:00:56.297,magma_AREA,2205,644
62, 57697, 00:00:57.697,magma_AREA,2664,604
63, 58473, 00:00:58.473,magma_AREA,2765,532
64, 59260, 00:00:59.260,magma_AREA,2060,585
65, 60955, 00:01:00.955,magma_AREA,2062,592
66, 61455, 00:01:01.455,magma_AREA,2654,594
67, 62821, 00:01:02.821,magma_AREA,2098,409
68, 63069, 00:01:03.069,magma_PAGE_SWIPE_down,2093,668
69, 64787, 00:01:04.787,magma_AREA,2181,436
70, 65452, 00:01:05.452,magma_AREA,2153,408
71, 65733, 00:01:05.733,magma_PAGE_SWIPE_down,2120,709
72, 66769, 00:01:06.769,magma_AREA,2090,420
73, 67265, 00:01:07.265,magma_PAGE_SWIPE_down,2083,700
74, 67985, 00:01:07.985,magma_AREA,2060,478
75, 68331, 00:01:08.331,magma_PAGE_SWIPE_down,2131,785
76, 72246, 00:01:12.246,navi_AREA,2835,447
77, 72879, 00:01:12.879,sub_AREA,2862,405
78, 73848, 00:01:13.848,magma_AREA,2336,597
79, 74063, 00:01:14.063,magma_PAGE_SWIPE_up,2351,222
80, 74446, 00:01:14.446,magma_AREA,2390,538
81, 74612, 00:01:14.612,magma_PAGE_SWIPE_up,2384,168
82, 75068, 00:01:15.068,magma_AREA,2339,538
83, 75278, 00:01:15.278,magma_PAGE_SWIPE_up,2346,175
84, 78110, 00:01:18.110,magma_AREA,2280,526
85, 78376, 00:01:18.376,magma_PAGE_SWIPE_up,2289,283
