Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 6215, 00:00:06.215,HWK_magma,2228,613
1, 10328, 00:00:10.328,HWK_magma,2228,613
2, 10733, 00:00:10.733,HWK_magma,2228,613
3, 15424, 00:00:15.424,HWK_magma,2228,613
4, 16429, 00:00:16.429,POPUP_MAGMA,1994,757
5, 18765, 00:00:18.765,magma_TAB_extream,1448,178
6, 21310, 00:00:21.310,magma_EXTREAM_BTN_Track Race,1809,432
7, 38195, 00:00:38.195,gnbL_BTN_magma,1089,687
8, 39343, 00:00:39.343,gnbL_BTN_magma,1130,673
9, 41134, 00:00:41.134,magma_TAB_spirit,1292,198
10, 45983, 00:00:45.983,HWK_magma,1292,198
11, 47196, 00:00:47.196,HWK_magma,1292,198
12, 49395, 00:00:49.395,HWK_magma,1292,198
13, 50600, 00:00:50.600,magma_SPIRIT_BTN_Vitual Gear Shift,1443,526
14, 52650, 00:00:52.650,magma_AREA,1725,538
15, 53320, 00:00:53.320,magma_SPIRIT_BTN_Vitual Gear Shift,1440,574
16, 54325, 00:00:54.325,magma_SPIRIT_BTN_Vitual Gear Shift,1370,546
17, 55207, 00:00:55.207,HWK_magma,1370,546
18, 57082, 00:00:57.082,magma_SPIRIT_BTN_Vitual Gear Shift,1430,541
19, 57784, 00:00:57.784,HWK_magma,1430,541
20, 59581, 00:00:59.581,magma_AREA,1728,526
21, 61346, 00:01:01.346,magma_TAB_extream,1408,171
22, 66414, 00:01:06.414,magma_EXTREAM_BTN_Settings,1502,729
23, 67719, 00:01:07.719,magma_AREA,1611,99
24, 69105, 00:01:09.105,magma_BTN_back,1262,168
25, 73623, 00:01:13.623,magma_TAB_spirit,1276,190
26, 79061, 00:01:19.061,magma_AREA,1682,538
27, 80800, 00:01:20.800,magma_SPIRIT_BTN_Vitual Gear Shift,1443,552
28, 82255, 00:01:22.255,magma_SPIRIT_BTN_Vitual Gear Shift,1384,558
29, 86426, 00:01:26.426,magma_TAB_extream,1431,163
30, 90590, 00:01:30.590,magma_EXTREAM_BTN_Records,1308,726
31, 91587, 00:01:31.587,magma_EXTREAM_BTN_Records,1292,733
32, 93802, 00:01:33.802,magma_EXTREAM_BTN_Battery Conditioning,1304,496
33, 96349, 00:01:36.349,magma_EXTREAM_BTN_Battery Conditioning,1394,502
34, 98627, 00:01:38.627,magma_AREA,1676,154
35, 101283, 00:01:41.283,magma_TAB_spirit,1332,165
36, 103491, 00:01:43.491,magma_AREA,1798,621
37, 104191, 00:01:44.191,magma_AREA,1948,628
38, 104332, 00:01:44.332,magma_PAGE_SWIPE_up,1988,496
39, 105074, 00:01:45.074,magma_AREA,2072,664
40, 105247, 00:01:45.247,magma_PAGE_SWIPE_up,2068,447
41, 105972, 00:01:45.972,magma_AREA,2122,604
42, 106112, 00:01:46.112,magma_PAGE_SWIPE_up,2136,519
43, 106589, 00:01:46.589,magma_AREA,2097,448
44, 106796, 00:01:46.796,magma_PAGE_SWIPE_down,2109,675
