Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 606, 00:00:00.606,HWK_magma,1228,520
1, 1472, 00:00:01.472,HWK_magma,1228,520
2, 1727, 00:00:01.727,HWK_magma,1228,520
3, 3713, 00:00:03.713,POPUP_MAGMA,1866,781
