Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 2069, 00:00:02.069,magma_AREA,2038,453
1, 2268, 00:00:02.268,magma_PAGE_SWIPE_down,2068,691
2, 4597, 00:00:04.597,magma_AREA,2063,360
3, 4747, 00:00:04.747,magma_PAGE_SWIPE_down,2072,519
4, 5896, 00:00:05.896,magma_AREA,2072,400
5, 6030, 00:00:06.030,magma_PAGE_SWIPE_down,2092,543
6, 6984, 00:00:06.984,magma_AREA,2080,403
7, 7095, 00:00:07.095,magma_PAGE_SWIPE_down,2102,522
8, 8445, 00:00:08.445,magma_AREA,2078,349
9, 8645, 00:00:08.645,magma_PAGE_SWIPE_down,2099,623
10, 16523, 00:00:16.523,magma_AREA,2003,635
11, 17291, 00:00:17.291,magma_AREA,2189,643
12, 17762, 00:00:17.762,magma_AREA,2531,595
13, 18247, 00:00:18.247,magma_AREA,2104,617
14, 18388, 00:00:18.388,magma_PAGE_SWIPE_up,2144,351
15, 19522, 00:00:19.522,magma_AREA,2205,653
16, 19637, 00:00:19.637,magma_PAGE_SWIPE_up,2193,487
17, 20519, 00:00:20.519,magma_AREA,2199,614
18, 20638, 00:00:20.638,magma_PAGE_SWIPE_up,2180,496
19, 21309, 00:00:21.309,magma_AREA,2204,667
20, 21436, 00:00:21.436,magma_PAGE_SWIPE_up,2175,546
21, 23506, 00:00:23.506,magma_AREA,2195,697
22, 23618, 00:00:23.618,magma_PAGE_SWIPE_up,2175,588
23, 27752, 00:00:27.752,magma_AREA,1373,274
24, 29430, 00:00:29.430,magma_TAB_spirit,1292,183
25, 31312, 00:00:31.312,magma_TAB_extream,1417,163
26, 37527, 00:00:37.527,magma_EXTREAM_BTN_Records,1345,731
