Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 33111, 00:00:33.111,HWK_magma,104,844
1, 33910, 00:00:33.910,HWK_magma,104,844
2, 34282, 00:00:34.282,HWK_magma,104,844
3, 35233, 00:00:35.233,HWK_magma,104,844
4, 35695, 00:00:35.695,HWK_magma,104,844
5, 67637, 00:01:07.637,HWK_magma,104,844
6, 68423, 00:01:08.423,HWK_magma,104,844
7, 68819, 00:01:08.819,HWK_magma,104,844
8, 71124, 00:01:11.124,gnbL_BTN_magma,1112,658
