Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 20097, 00:00:20.097,HWK_magma,1107,670
1, 20963, 00:00:20.963,HWK_magma,1107,670
2, 22496, 00:00:22.496,POPUP_MAGMA,2001,772
3, 25447, 00:00:25.447,magma_TAB_extream,1484,154
4, 26783, 00:00:26.783,magma_AREA,1300,219
5, 27033, 00:00:27.033,magma_TAB_spirit,1269,169
6, 27515, 00:00:27.515,magma_AREA,2138,612
7, 27593, 00:00:27.593,magma_PAGE_SWIPE_up,2130,549
8, 28234, 00:00:28.234,magma_AREA,2258,702
9, 28328, 00:00:28.328,magma_PAGE_SWIPE_up,2234,570
10, 29164, 00:00:29.164,magma_AREA,2212,663
