Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 3778, 00:00:03.778,magma_AREA,2204,469
1, 4788, 00:00:04.788,magma_PAGE_SWIPE_up,2178,336
2, 5025, 00:00:05.025,magma_AREA,2178,271
3, 5271, 00:00:05.271,magma_PAGE_SWIPE_down,2156,772
4, 6889, 00:00:06.889,magma_AREA,2178,459
5, 10967, 00:00:10.967,magma_AREA,2217,619
6, 11134, 00:00:11.134,magma_PAGE_SWIPE_up,2237,403
7, 12005, 00:00:12.005,magma_AREA,2285,685
8, 12165, 00:00:12.165,magma_PAGE_SWIPE_up,2247,417
9, 12822, 00:00:12.822,magma_AREA,2288,704
10, 12998, 00:00:12.998,magma_PAGE_SWIPE_up,2294,454
11, 13647, 00:00:13.647,magma_AREA,2358,740
12, 13847, 00:00:13.847,magma_PAGE_SWIPE_up,2310,445
13, 19244, 00:00:19.244,magma_AREA,2315,743
14, 19443, 00:00:19.443,magma_PAGE_SWIPE_up,2268,525
15, 23798, 00:00:23.798,magma_AREA,2180,459
16, 24657, 00:00:24.657,magma_AREA,2225,534
17, 25139, 00:00:25.139,magma_AREA,2181,631
18, 28770, 00:00:28.770,magma_AREA,2229,707
19, 29601, 00:00:29.601,magma_PAGE_SWIPE_down,2208,760
20, 30624, 00:00:30.624,magma_AREA,2258,468
21, 30833, 00:00:30.833,magma_PAGE_SWIPE_down,2262,784
22, 31702, 00:00:31.702,magma_AREA,2286,430
23, 31884, 00:00:31.884,magma_PAGE_SWIPE_down,2285,767
24, 32673, 00:00:32.673,magma_AREA,2310,393
25, 32865, 00:00:32.865,magma_PAGE_SWIPE_down,2319,757
26, 33784, 00:00:33.784,magma_AREA,2142,393
27, 34047, 00:00:34.047,magma_PAGE_SWIPE_down,2131,862
28, 41991, 00:00:41.991,magma_TAB_spirit,1262,189
29, 42990, 00:00:42.990,magma_TAB_extream,1418,177
30, 43589, 00:00:43.589,magma_TAB_spirit,1262,175
31, 46653, 00:00:46.653,magma_TAB_extream,1445,171
32, 51965, 00:00:51.965,magma_EXTREAM_BTN_Records,1357,715
