Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 1853, 00:00:01.853,gnbL_BTN_apps,1113,780
1, 4010, 00:00:04.010,apps_AREA,2067,652
2, 4816, 00:00:04.816,apps_AREA,1989,669
3, 5601, 00:00:05.601,apps_AREA,2022,687
4, 7383, 00:00:07.383,gnbL_BTN_magma,1095,696
5, 11224, 00:00:11.224,magma_TAB_extream,1428,175
6, 14939, 00:00:14.939,magma_EXTREAM_BTN_Track Race,1864,468
7, 27866, 00:00:27.866,magma_TAB_spirit,1284,183
8, 29756, 00:00:29.756,magma_TAB_extream,1436,196
9, 33184, 00:00:33.184,magma_EXTREAM_BTN_Drag Race,1850,715
10, 36769, 00:00:36.769,magma_TAB_spirit,1264,156
11, 37508, 00:00:37.508,magma_TAB_extream,1414,198
12, 41455, 00:00:41.455,magma_EXTREAM_BTN_Track Race,1928,454
13, 43008, 00:00:43.008,magma_AREA,2140,463
14, 43198, 00:00:43.198,magma_PAGE_SWIPE_down,2145,834
15, 43891, 00:00:43.891,magma_AREA,2166,538
16, 43981, 00:00:43.981,magma_PAGE_SWIPE_down,2194,741
